name,title,rating,votes,cluster
OurPlanet,"Explores unravels mystery animals migrate, showing dramatic compelling stories natural world spectacular innovative cinematography.",9.3,50565,2
TheLastDance,"Jordan, 1990s establish one notable dynasties sports history.",9.1,150856,0
WhenTheySeeUs,Five teens become trapped nightmare they're falsely accused brutal attack Based true story.,8.8,137212,5
BlackMirror,"Featuring stand-alone dramas -- sharp, suspenseful, satirical tales explore techno-paranoia -- ""Black Mirror"" contemporary reworking ""The Zone"" stories tap collective unease modern world.",8.7,636734,10
Narcos,"chronicled look criminal exploits Colombian drug lord Escobar, well many drug kingpins plagued country years.",8.8,468160,9
Dark,"family saga supernatural twist, set German town disappearance two young children exposes relationships among four families.",8.7,440701,14
StrangerThings,"young boy vanishes, small town uncovers mystery involving secret experiments, terrifying supernatural forces one strange little girl.",8.7,1328180,7
HouseofCards,works equally conniving wife exact revenge people betrayed him.,8.6,529617,3
ArrestedDevelopment,"Level-headed son takes family affairs father imprisoned. rest spoiled, dysfunctional family making job unbearable.",8.7,323296,6
TheCrown,political rivalries romances reign events shaped second half 20th century.,8.6,255508,7
BoJackHorseman,"star hit television show ""Horsin' Around"" '80s '90s, he's washed up, living complaining everything, wearing colorful sweaters.",8.8,187171,4
Anne,adventures young orphan girl living late 19th century. learns navigate new life new take L.M. classic novels.,8.6,65841,7
Formula1:DrivetoSurvive,Docuseries following across multiple seasons.,8.5,50515,0
Daredevil,"blind lawyer day, vigilante night. fights crime Daredevil.",8.6,473105,6
TheQueen'sGambit,"Orphaned tender age nine, prodigious introvert discovers masters game chess 1960s USA. child stardom comes price.",8.5,548000,9
Mindhunter,"late 1970s, two agents broaden realm criminal science investigating psychology behind murder end getting close real-life monsters.",8.6,333345,7
TheHauntingofHillHouse,"Flashing past present, fractured family confronts haunting memories old home terrifying events drove it.",8.6,286723,13
MakingaMurderer,"10-year period, Avery, exoneree who, midst exposing corruption local law enforcement, finds prime suspect grisly new crime.",8.5,102548,0
SacredGames,"link pasts leads honest cop fugitive gang boss, whose cryptic warning spurs officer quest save cataclysm.",8.5,92693,8
Hilda,"fearless blue-haired girl named leaves forest go town find new friends, great adventures, magic mysterious creatures might dangerous.",8.6,13735,7
ThePunisher,"revenge murdered family, aimless veteran finds new meaning life vigilante known ""The Punisher"".",8.4,263681,6
"Love,Death&Robots","collection animated short stories span various genres including science fiction, fantasy, horror comedy.",8.4,195597,0
TrailerParkBoys,petty felons documentary made life trailer park.,8.5,50286,13
Trollhunters,"ordinary boy finds magic amulet chooses Trollhunter, guardian defends world humans secret world trolls.",8.4,18860,2
Chef'sTable,"goes inside lives kitchens six world's renowned international chefs. episode focuses single chef unique look lives, talents passion piece culinary heaven.",8.5,16967,2
Ozark,"financial advisor drags family Ozarks, must launder money appease drug boss.",8.5,344848,9
TheLastKingdom,"defends kingdom invaders, raised claim ancestral birthright.",8.5,164767,0
AfterLife,"wife dies, nice-guy persona altered impulsive, devil-may-care attitude takes old world storm.",8.4,152602,3
Unbelievable,"teenager charged lying raped, two detectives follow path truth.",8.3,119009,0
Narcos:México,rise agent learns danger targeting narcos,8.4,92502,7
OMecanismo,fiction series loosely inspired investigation corruption private state oil companies construction companies.,8,36668,5
Kingdom,"strange rumors ill grip kingdom, crown prince becomes hope mysterious plague overtaking land.",8.3,54070,14
TheDarkCrystal:AgeofResistance,"world Thra, three Gelfling discover horrifying secret behind Skeksis' power, set ignite fires rebellion save world.",8.4,27039,2
เจ้าชายมังกร,"Two human princes forge unlikely bond elfin assassin sent kill them, embarking epic quest bring peace warring lands.",8.3,27348,8
JulieandthePhantoms,"teenage girl finds passion music life help high -concept band teen boys (The Phantoms) dead 25 years. turn, helps become band never able be.",8.4,11901,15
LastChanceU,"look inside world junior college football, chronicling stories players coaches classroom field.",8.4,7482,2
Lacasadepapel,unusual group robbers attempt carry perfect robbery Spanish history - stealing 2.4 billion euros Spain.,8.2,529448,2
SexEducation,teenage boy sex therapist mother teams high school classmate set underground sex therapy clinic school.,8.3,349064,15
Sense8,"group people around world suddenly linked mentally, must find way survive hunted see threat world's order.",8.2,162590,2
MasterofNone,"personal professional life Dev, 30-year-old actor",8.2,76151,13
Atypical,"18-year-old autism spectrum, decides time find girlfriend, sets mom life-changing path son seeks independence.",8.2,103071,9
Godless,"1880s West, murderous outlaw gang leader hunts ex-protege Goode. chase leads Belle, town inhabited, mining disaster, almost entirely women.",8.2,78073,8
GraceandFrankie,"Finding husbands work partners, also romantically involved last twenty years, two women already strained relationship try cope circumstances together.",8.2,56812,12
Longmire,"dedicated unflappable sheriff County, Wyoming. year, man psychic repair buries pain behind brave face, unassuming grin dry wit.",8.3,39813,13
TheGetDown,ragtag group teenagers run wild streets late 1970s.,8.2,23638,11
TheMidnightGospel,"Clancy, spacecaster malfunctioning multiverse simulator, leaves comfort home interview beings living dying worlds.",8.2,25188,4
PatriotActwithHasanMinhaj,"weekly show, former correspondent brings unique comedic voice storytelling skill explore larger grim trends shaping fragmented world.",8.3,7916,2
TheWitcher,"Rivia, solitary monster hunter, struggles find place world people often prove wicked beasts.",8,567494,2
TheKilling,"police investigation, saga grieving family, mayoral campaign interlock body 17-year-old found trunk submerged car.",8.3,122874,13
Castlevania,vampire hunter fights save besieged city army otherworldly creatures controlled Dracula.,8.3,79873,0
AmericanVandal,true-crime satire explores aftermath costly high school prank left twenty-seven faculty cars vandalized phallic images.,8.1,32994,15
WildWildCountry,"Osho, world's controversial guru, builds Utopian city deep country, conflict locals escalates national scandal.",8.1,34868,2
TheKominskyMethod,"aging actor, long ago enjoyed brush fame, makes living acting coach.",8.2,43941,13
OneDayataTime,"three generations Cuban-American family living house: newly divorced former military mother, teenage daughter tween son, old-school mother.",8.2,18246,15
TheTrialsofGabrielFernandez,"investigates tragic death 8-year-old boy endured horrific abuse mother boyfriend, along fractured complex systems failed protect him.",8.1,13459,13
Lucifer,decided he's enough dutiful servant decides spend time better understand humanity. settles - Angels.,8.1,354324,9
TheEndoftheF***ingWorld,"17 pretty sure psychopath. Alyssa, also 17, cool moody new girl school. pair make connection persuades embark road trip search real father.",8,218633,7
Travelers,"Hundreds years now, surviving humans discover send consciousness back time, people 21st century, attempting change path humanity.",8,63975,14
TheKeepers,seven-part docuseries unsolved murder nun horrific secrets pain linger nearly five decades death.,8,24928,14
Lovesick,"finding STD, must get back touch every girl ever sex let know bad news.",8,22528,15
ComediansinCarsGettingCoffee,"joined friends cup coffee drive classic car, sharing stories along way.",8,13529,7
Dota:Dragon'sBlood,"encounters dragon princess mission, becomes embroiled events larger could ever imagined.",7.7,21622,0
DirtyMoney,"documenting various stories exposing greed, corruption, crime spreading global economy.",8.1,10150,5
Voltron:LegendaryDefender,Five teenagers become last line defense galaxy intergalactic battle evil alien force led Zarkon.,8.1,9725,0
OrangeIstheNewBlack,"decade-old crime transporting drug money, ordinarily law-abiding sentenced 18 months behind bars quickly discovers realities life-changing prison time.",8,319437,9
TheUmbrellaAcademy,"family former child heroes, grown apart, must reunite continue protect world.",7.9,273904,2
AlteredCarbon,"future consciousness digitized stored, prisoner returns life new body must solve mind-bending murder win freedom.",7.9,187944,7
MarcoPolo,"world replete greed, betrayal, sexual intrigue rivalry, ""Marco Polo"" based famed explorer's adventures court 13th century Mongolia.",8,78353,7
Unorthodox,young ultra-Orthodox Jewish woman flees arranged marriage religious community start new life abroad.,8,92077,7
DeadtoMe,series powerful friendship blossoms tightly wound widow free spirit shocking secret.,7.9,99508,5
BigMouth,friends find lives upended wonders horrors puberty.,7.8,89071,0
GLOW,look personal professional lives group women perform wrestling organization 1980s.,8,50397,13
Don'tF**kwithCats:HuntinganInternetKiller,group online justice seekers track guy posted video killing kittens.,8,61868,5
FIsforFamily,"family back 1970s, kids roamed wild, beer flowed freely nothing came man TV.",8,41085,12
